age,employment_years,monthly_income,existing_debts,num_previous_loans,num_defaults,on_time_payment_ratio,avg_days_late,credit_utilization_pct,account_balance,credit_history_years,num_open_credit_lines,risk_category
50,4.3,30200.0,69800.0,4,1,0.863,13.4,14.7,29600.0,8.5,9,High Risk
62,6.5,50400.0,1500.0,2,0,0.913,2.0,4.5,1660.0,12.1,0,Low Risk
40,9.9,76200.0,63900.0,2,0,0.678,2.7,16.8,6910.0,4.1,0,Low Risk
28,3.7,32900.0,14600.0,2,0,0.856,3.3,43.1,3600.0,1.2,7,Medium Risk
57,3.5,29700.0,36800.0,2,1,0.882,15.3,37.2,1260.0,7.1,2,High Risk
48,10.2,37600.0,22200.0,5,0,0.75,8.7,54.2,950.0,12.4,2,Low Risk
51,7.5,26500.0,56400.0,1,1,0.505,5.2,67.1,1830.0,12.1,4,High Risk
25,0.0,27300.0,16500.0,2,0,0.913,9.4,14.6,2910.0,6.2,5,Low Risk
34,1.1,44600.0,3400.0,0,0,0.941,1.9,18.8,8060.0,10.0,5,Medium Risk
54,12.0,39800.0,12000.0,0,0,0.513,1.0,38.1,5350.0,6.9,3,Medium Risk
57,7.6,105400.0,22400.0,3,1,0.835,21.5,46.8,3270.0,14.9,1,Medium Risk
40,3.0,45200.0,10800.0,5,1,0.291,4.7,55.7,17000.0,9.2,6,High Risk
56,5.3,64600.0,25800.0,4,0,0.795,2.4,51.6,24040.0,0.8,4,High Risk
58,6.1,21300.0,12500.0,5,0,0.652,0.1,43.8,5940.0,5.4,1,Medium Risk
38,8.9,47200.0,7400.0,2,0,0.922,0.8,36.5,2770.0,7.3,9,Low Risk
60,0.6,25300.0,4500.0,0,0,0.993,7.0,54.8,4820.0,3.1,6,Medium Risk
33,2.6,44300.0,9000.0,3,0,0.904,12.6,15.9,6680.0,8.0,8,Low Risk
31,7.1,51200.0,16400.0,4,0,0.947,10.9,33.6,860.0,5.0,4,Medium Risk
51,5.6,37200.0,1900.0,1,0,0.939,1.5,47.6,4530.0,9.6,2,Medium Risk
49,8.3,121000.0,6100.0,0,0,0.875,4.3,39.9,5120.0,2.9,2,Low Risk
27,1.1,74200.0,1800.0,0,0,0.982,4.3,11.4,1480.0,5.9,2,Low Risk
57,7.4,65400.0,7200.0,3,0,0.788,2.3,14.1,2520.0,11.8,0,Medium Risk
29,10.4,53200.0,44200.0,5,0,0.659,3.4,28.7,1990.0,7.4,0,Low Risk
56,7.9,87700.0,4100.0,4,0,0.99,10.8,6.6,20980.0,7.9,4,Low Risk
21,6.6,17700.0,27000.0,3,1,0.739,6.3,54.4,1130.0,3.2,0,High Risk
56,5.6,72100.0,230700.0,2,0,0.422,8.4,3.2,7740.0,5.8,5,Low Risk
55,2.7,22100.0,57200.0,3,0,0.781,4.7,67.3,34610.0,4.9,2,High Risk
55,5.7,27400.0,15300.0,1,0,0.914,2.4,38.5,4390.0,6.5,8,Medium Risk
50,11.0,48100.0,31500.0,1,1,0.779,3.8,34.5,26000.0,16.4,1,Medium Risk
41,5.5,67300.0,3400.0,2,2,0.732,8.7,21.0,5550.0,9.8,3,High Risk
52,2.4,20400.0,2800.0,1,1,0.903,7.4,42.6,8810.0,8.2,7,High Risk
33,4.0,28100.0,13700.0,4,0,0.802,0.2,5.7,940.0,5.4,2,Low Risk
55,6.8,38100.0,19900.0,3,0,0.783,0.4,38.9,22910.0,4.9,8,Low Risk
45,4.5,33100.0,39900.0,1,0,0.913,5.4,76.4,3430.0,7.5,2,High Risk
41,7.9,55700.0,7600.0,1,0,0.741,0.1,70.3,4510.0,9.3,7,Low Risk
43,8.1,202400.0,16200.0,1,1,0.844,3.8,23.1,3210.0,7.4,4,Medium Risk
46,9.6,44800.0,15700.0,0,0,0.949,0.1,53.4,1980.0,4.4,4,Medium Risk
22,11.7,25100.0,11700.0,2,0,0.723,4.1,40.4,13040.0,7.6,4,Low Risk
27,10.0,19000.0,12400.0,3,0,0.877,2.8,30.7,3140.0,9.9,5,Low Risk
31,2.3,30900.0,5700.0,5,0,0.832,0.7,23.8,1890.0,11.9,6,Low Risk
26,2.4,22700.0,17700.0,5,0,0.941,1.1,46.4,2030.0,11.4,9,Medium Risk
40,5.7,45900.0,16200.0,1,0,0.944,0.0,24.3,1570.0,5.4,0,Low Risk
50,4.2,45500.0,8600.0,3,0,0.728,4.2,68.0,29660.0,0.0,4,Medium Risk
49,1.4,28800.0,26000.0,1,0,0.745,1.4,23.9,5730.0,2.2,6,Medium Risk
41,4.2,98000.0,37300.0,3,1,0.84,3.6,31.3,1890.0,2.1,2,Medium Risk
58,4.1,25100.0,26300.0,4,2,0.837,8.2,81.7,1840.0,7.7,4,High Risk
45,3.3,34200.0,4700.0,1,0,0.768,9.1,71.7,17000.0,2.9,0,Medium Risk
24,4.7,50000.0,14800.0,3,0,0.716,0.1,17.4,6780.0,4.1,6,Medium Risk
54,10.7,56700.0,5400.0,4,0,0.769,2.3,34.3,820.0,5.5,3,Low Risk
46,6.8,68800.0,14700.0,2,0,0.904,1.4,38.7,140.0,19.6,8,Low Risk
48,15.9,45000.0,5400.0,4,1,0.907,4.1,45.9,5830.0,13.2,0,Medium Risk
45,6.7,61400.0,47900.0,2,0,0.791,3.1,30.8,25410.0,5.5,6,Medium Risk
45,4.8,26000.0,29200.0,4,0,0.797,8.4,81.4,1930.0,14.4,2,Medium Risk
24,6.0,57500.0,42300.0,2,0,0.956,5.6,31.7,10230.0,7.5,3,Low Risk
45,7.0,57100.0,38200.0,6,1,0.814,14.8,13.9,41560.0,4.1,9,Medium Risk
55,7.7,77400.0,10200.0,3,0,0.743,0.1,39.7,1020.0,8.8,0,Low Risk
34,14.3,15800.0,8700.0,1,1,0.77,8.3,21.9,1540.0,3.2,7,Medium Risk
47,2.6,23100.0,76200.0,2,2,0.926,8.3,70.5,3220.0,0.0,9,High Risk
22,9.4,54800.0,11300.0,4,2,0.841,8.1,65.5,7760.0,0.0,3,High Risk
36,6.8,9600.0,3400.0,0,0,0.739,11.4,71.3,7410.0,11.5,5,Medium Risk
40,0.0,46400.0,36600.0,2,0,0.809,4.7,67.0,4240.0,6.4,1,High Risk
64,9.1,61700.0,15400.0,2,2,0.662,12.1,66.7,108250.0,2.6,0,High Risk
30,11.1,27200.0,60200.0,3,0,0.971,4.7,48.7,13170.0,8.4,3,Low Risk
33,2.6,29300.0,17000.0,1,0,0.838,0.0,67.6,3280.0,1.0,8,Medium Risk
38,6.0,21200.0,13100.0,3,0,0.796,16.7,10.7,3920.0,2.6,9,High Risk
64,0.0,28000.0,61500.0,2,1,0.719,4.3,74.3,3140.0,8.8,0,High Risk
58,1.0,28400.0,2900.0,1,0,0.672,3.8,73.3,22060.0,14.5,9,High Risk
22,10.2,25800.0,7400.0,1,0,0.691,3.0,19.7,800.0,1.6,5,Low Risk
31,4.1,25100.0,5500.0,3,0,0.948,0.5,34.7,3700.0,2.6,4,Low Risk
57,1.6,31700.0,1500.0,1,0,0.673,0.0,19.3,510.0,6.2,2,Medium Risk
23,6.9,31500.0,32000.0,5,1,0.855,3.7,57.8,7110.0,9.5,7,High Risk
58,3.9,92700.0,7700.0,2,0,0.665,4.4,68.3,9070.0,8.3,2,Medium Risk
33,4.1,29800.0,33000.0,1,0,0.58,1.5,36.6,890.0,5.1,1,Medium Risk
61,9.0,43100.0,19700.0,2,0,0.547,4.1,43.0,720.0,6.4,8,High Risk
33,1.4,27200.0,24500.0,3,0,0.865,8.9,17.4,5050.0,7.9,5,Low Risk
40,2.4,27000.0,8500.0,0,0,0.943,3.5,11.0,7500.0,14.0,4,Low Risk
50,6.6,15500.0,6200.0,2,0,0.808,4.7,4.1,860.0,10.5,2,Low Risk
26,9.9,16600.0,14600.0,1,0,0.949,2.0,47.9,3550.0,3.7,9,Low Risk
45,11.0,19900.0,33500.0,1,0,0.816,3.2,27.0,10870.0,0.9,0,Low Risk
43,3.3,39800.0,12700.0,1,0,0.945,3.6,50.2,8760.0,9.6,8,Medium Risk
55,9.7,62200.0,6600.0,3,0,0.511,0.1,21.7,2980.0,1.9,6,Low Risk
64,2.9,14900.0,4000.0,0,0,0.752,0.9,16.5,2140.0,8.6,0,Low Risk
50,13.3,27600.0,16400.0,0,0,0.858,2.1,40.9,250.0,10.0,4,Medium Risk
39,1.5,18300.0,7700.0,1,0,0.843,11.5,60.0,1960.0,11.1,4,Medium Risk
38,11.3,31800.0,12400.0,3,1,0.824,3.8,40.4,7280.0,2.6,7,High Risk
39,3.4,62200.0,10500.0,1,0,0.785,4.9,44.6,4660.0,10.2,9,Medium Risk
56,14.1,29000.0,8600.0,1,1,0.726,3.7,80.2,12090.0,11.4,4,High Risk
35,8.4,35500.0,17900.0,0,0,0.99,3.9,25.7,46800.0,6.0,4,Low Risk
28,1.9,75200.0,23300.0,0,0,0.747,4.5,54.7,4910.0,3.4,0,Medium Risk
35,3.9,45700.0,95300.0,1,1,0.827,4.0,38.7,420.0,6.9,6,High Risk
21,9.1,24800.0,28500.0,0,0,0.978,1.1,19.6,2680.0,7.4,3,Low Risk
25,10.2,39300.0,65800.0,3,0,0.813,6.4,47.5,19610.0,10.8,0,Low Risk
24,5.7,24000.0,5900.0,2,0,0.497,13.6,28.4,21150.0,7.3,8,Low Risk
54,6.2,44800.0,2700.0,1,0,0.851,2.0,78.6,670.0,8.2,5,Medium Risk
52,9.0,47000.0,13200.0,0,0,0.874,11.4,32.2,1740.0,9.7,6,Low Risk
51,6.5,18300.0,31500.0,5,0,0.905,4.8,55.4,3810.0,6.3,1,Medium Risk
41,0.8,39600.0,26900.0,3,0,0.923,7.2,32.7,14690.0,7.4,3,Low Risk
52,2.7,34200.0,44900.0,2,0,0.793,3.2,29.6,1680.0,3.4,5,Medium Risk
28,6.9,47700.0,1100.0,2,0,0.994,1.4,36.6,9910.0,7.0,2,Low Risk
60,10.9,55000.0,46800.0,0,0,0.707,14.3,20.7,180.0,6.2,6,Medium Risk
43,12.5,46100.0,18700.0,0,0,0.583,0.3,45.6,4070.0,6.5,6,Medium Risk
62,9.1,31200.0,2900.0,3,1,0.701,3.6,44.9,1170.0,2.5,2,Medium Risk
27,7.1,57900.0,27500.0,2,0,0.932,5.8,21.2,3470.0,6.9,2,Low Risk
42,9.0,23500.0,15800.0,4,1,0.664,12.2,38.4,770.0,4.3,3,High Risk
51,3.3,18800.0,19600.0,3,0,0.959,1.3,9.6,5050.0,6.6,7,Medium Risk
42,5.4,8000.0,36300.0,3,0,0.613,6.5,23.9,9540.0,7.3,8,Medium Risk
40,2.7,35100.0,20500.0,1,0,0.732,1.1,26.0,6340.0,14.0,0,Low Risk
28,1.0,24100.0,3100.0,1,0,0.91,8.5,65.1,18760.0,4.6,2,Medium Risk
37,7.3,44300.0,11600.0,1,0,0.894,2.7,15.5,5680.0,4.0,9,Low Risk
31,6.7,13600.0,2700.0,4,0,0.962,6.0,58.1,5950.0,6.2,5,Medium Risk
34,8.8,26300.0,25600.0,2,0,0.736,1.3,36.5,2410.0,3.2,0,Low Risk
51,8.2,45900.0,54100.0,5,0,0.87,0.3,80.9,8060.0,0.0,7,High Risk
48,7.0,21700.0,3900.0,1,0,0.802,2.4,40.4,2610.0,5.7,4,High Risk
47,8.2,44600.0,6800.0,4,3,0.514,15.2,34.2,3330.0,6.5,3,High Risk
36,5.8,27500.0,5500.0,1,0,0.952,1.1,27.4,17800.0,7.6,7,Low Risk
63,7.7,35700.0,8500.0,1,0,0.64,3.3,22.7,38070.0,6.0,3,Low Risk
24,3.1,48900.0,20200.0,6,1,0.965,5.0,78.9,3280.0,4.0,6,High Risk
36,7.5,58500.0,8600.0,1,0,0.679,1.6,66.5,7900.0,8.2,6,Medium Risk
26,8.7,38000.0,25700.0,2,0,0.59,2.3,16.0,1970.0,5.2,3,Medium Risk
35,3.3,24200.0,38800.0,2,0,0.922,0.8,19.8,2250.0,4.8,6,Low Risk
63,6.2,28900.0,40200.0,2,1,0.859,5.1,32.3,250.0,9.4,5,High Risk
37,3.5,49900.0,4400.0,5,0,0.738,5.6,47.8,9650.0,6.5,5,Medium Risk
60,3.9,21800.0,53400.0,2,1,0.706,5.9,56.8,2840.0,12.2,4,High Risk
42,1.5,33200.0,57900.0,1,0,0.938,2.0,13.8,36330.0,2.8,1,Low Risk
51,11.1,29900.0,63100.0,2,0,0.768,14.2,17.2,2030.0,14.0,8,Low Risk
41,10.3,34500.0,11400.0,2,0,0.773,6.6,33.3,4840.0,8.9,2,Low Risk
32,8.1,21900.0,6300.0,4,1,0.887,12.0,38.0,11900.0,2.8,0,Medium Risk
54,13.9,14400.0,5000.0,2,1,0.901,4.0,64.7,98750.0,6.1,1,Medium Risk
63,5.2,47100.0,4400.0,5,0,0.884,8.7,49.1,1740.0,4.6,7,Medium Risk
32,18.1,58800.0,13500.0,1,0,0.809,1.8,47.6,2780.0,9.2,6,Medium Risk
55,5.1,14800.0,31200.0,1,0,0.941,7.2,45.8,5960.0,4.6,3,Medium Risk
32,7.0,43700.0,49300.0,0,0,0.708,2.0,22.6,3360.0,3.6,6,Low Risk
52,4.4,62400.0,8200.0,4,0,0.453,3.3,16.0,11290.0,8.9,6,Low Risk
55,7.5,48900.0,12900.0,1,0,0.712,5.1,52.3,5990.0,6.2,9,Medium Risk
40,9.3,29500.0,12000.0,1,0,0.719,14.6,86.5,22160.0,0.0,8,High Risk
53,5.5,22700.0,7100.0,2,0,0.679,1.6,7.5,3630.0,11.6,2,Low Risk
32,13.1,37800.0,27900.0,4,0,0.705,11.9,36.3,13700.0,6.3,9,Medium Risk
24,7.0,41100.0,19200.0,3,0,0.884,17.2,48.5,4750.0,6.3,8,Medium Risk
25,7.1,38100.0,15400.0,4,0,0.856,0.1,45.9,9730.0,10.9,2,Medium Risk
40,2.4,33200.0,19100.0,2,0,0.747,4.4,48.2,6470.0,9.2,6,Medium Risk
60,7.7,21100.0,24700.0,0,0,0.66,41.3,41.5,4540.0,15.8,0,Medium Risk
26,5.5,44900.0,24500.0,1,1,0.831,9.5,53.7,2030.0,4.3,7,High Risk
41,3.6,46000.0,5800.0,1,1,0.662,5.3,40.9,13610.0,10.2,0,High Risk
51,2.9,40200.0,32700.0,1,0,0.829,5.4,61.6,1400.0,4.4,7,Medium Risk
29,16.7,38400.0,17200.0,2,0,0.832,1.1,25.8,10600.0,8.6,5,Low Risk
52,4.9,84100.0,8700.0,7,0,0.688,5.7,45.8,10280.0,11.3,4,Medium Risk
34,0.2,26600.0,16900.0,0,0,0.862,2.1,15.5,69320.0,5.0,4,Low Risk
56,3.2,68900.0,18900.0,0,0,0.763,2.1,22.6,13610.0,16.7,0,Low Risk
46,5.8,25200.0,39400.0,2,0,0.893,21.3,38.9,520.0,9.4,7,Medium Risk
45,8.2,63200.0,4700.0,4,0,0.919,1.2,35.1,1560.0,5.7,3,Low Risk
28,8.2,67300.0,50300.0,1,0,0.412,2.0,47.4,4790.0,0.0,8,Medium Risk
41,8.7,31400.0,13700.0,2,0,0.972,4.7,22.6,3010.0,7.3,9,Low Risk
58,3.4,83300.0,8100.0,2,1,0.715,5.6,9.9,7540.0,13.0,1,Medium Risk
21,7.4,45900.0,7800.0,0,0,0.863,0.2,30.5,1090.0,8.5,8,Low Risk
54,2.5,23400.0,4900.0,0,0,0.944,4.8,16.4,570.0,9.7,0,Low Risk
42,3.5,30100.0,2300.0,0,0,0.863,0.4,21.6,1570.0,6.4,3,Medium Risk
52,2.3,64000.0,26300.0,2,0,0.866,3.8,16.0,64530.0,6.7,8,Low Risk
50,1.2,57600.0,96800.0,0,0,0.846,8.2,31.5,18080.0,6.9,5,Medium Risk
40,10.3,21400.0,2700.0,3,0,0.943,11.4,10.7,2500.0,5.4,8,Low Risk
34,8.8,33900.0,5200.0,1,0,0.459,2.9,29.1,6080.0,6.7,5,Medium Risk
48,9.9,40200.0,28300.0,3,0,0.761,10.7,60.7,1490.0,6.6,3,Medium Risk
27,6.2,28200.0,12800.0,3,2,0.527,6.6,44.2,13590.0,9.1,9,High Risk
46,9.1,118100.0,30800.0,1,0,0.937,1.0,56.1,1390.0,6.6,2,Medium Risk
25,0.0,40800.0,12100.0,3,0,0.762,12.1,13.7,3070.0,11.1,1,Low Risk
49,9.5,35200.0,7500.0,1,0,0.967,7.7,29.0,1970.0,15.6,0,Low Risk
48,6.7,65900.0,10700.0,1,0,0.817,14.3,51.7,3680.0,5.4,5,Medium Risk
24,8.5,30300.0,1200.0,0,0,0.582,5.2,47.0,6940.0,13.9,5,Low Risk
54,7.5,60100.0,4300.0,1,0,0.938,14.2,23.6,4790.0,9.6,8,Low Risk
39,2.1,15800.0,34500.0,2,0,0.857,10.3,60.2,16140.0,4.9,6,Medium Risk
55,0.0,28900.0,44000.0,5,1,0.935,22.7,49.8,1480.0,12.8,8,High Risk
22,3.2,61400.0,54500.0,2,0,0.629,0.6,31.3,250.0,9.6,5,Medium Risk
28,8.3,79600.0,20800.0,1,0,0.864,0.2,43.2,6030.0,10.0,1,Low Risk
42,8.8,24700.0,1400.0,2,0,0.868,0.4,44.8,34410.0,0.0,4,Medium Risk
29,0.5,23300.0,7100.0,2,1,0.728,4.6,23.6,1450.0,9.7,8,Medium Risk
35,2.1,48200.0,50200.0,0,0,0.592,0.9,17.6,9830.0,6.8,0,Low Risk
50,3.1,26600.0,67700.0,4,0,0.747,3.5,30.7,2840.0,8.7,5,Low Risk
27,4.6,31800.0,52200.0,5,2,0.827,7.4,52.3,1900.0,9.5,5,High Risk
50,0.6,56300.0,10500.0,0,0,0.661,9.2,65.5,1900.0,8.7,2,Medium Risk
25,0.3,27700.0,3600.0,0,0,0.777,13.1,36.2,8950.0,8.9,3,Medium Risk
28,2.7,13600.0,12800.0,7,0,0.86,1.9,36.7,24800.0,10.2,5,Medium Risk
46,6.3,18900.0,13600.0,2,0,0.947,5.7,47.1,20510.0,6.0,7,Low Risk
55,1.3,36500.0,63900.0,1,0,0.902,14.9,43.0,13800.0,14.0,2,Medium Risk
28,5.5,14300.0,16800.0,1,0,0.872,6.7,21.5,5810.0,9.5,9,Low Risk
34,10.2,31300.0,13600.0,3,1,0.675,3.7,29.1,2270.0,4.1,9,High Risk
61,0.8,18100.0,14400.0,5,2,0.804,12.3,49.6,15050.0,8.4,6,High Risk
64,5.2,82500.0,19900.0,2,0,0.872,6.7,37.6,24430.0,2.9,0,Low Risk
46,10.1,107200.0,25000.0,0,0,0.878,0.9,40.2,2950.0,10.2,5,Low Risk
40,4.3,21400.0,6500.0,1,0,0.859,7.8,37.9,2890.0,2.9,3,Medium Risk
36,3.7,41300.0,4600.0,2,0,0.786,3.7,83.6,8160.0,6.4,3,Medium Risk
47,10.7,22500.0,52600.0,3,0,0.78,1.2,27.6,1460.0,5.8,5,Low Risk
47,4.8,31100.0,2600.0,1,0,0.938,1.1,94.1,6440.0,10.3,1,Medium Risk
33,10.4,89500.0,68700.0,1,0,0.303,5.2,34.3,450.0,3.9,3,Medium Risk
22,7.7,28800.0,2000.0,1,1,0.709,13.6,58.0,16920.0,8.7,1,Medium Risk
27,4.6,31500.0,7400.0,2,1,0.813,5.1,66.7,5700.0,1.6,5,High Risk
63,7.9,22700.0,35300.0,7,1,0.81,7.5,63.1,5750.0,11.3,1,High Risk
39,7.3,64400.0,13400.0,3,0,0.753,1.7,41.9,9260.0,6.9,2,Medium Risk
42,10.1,8000.0,3600.0,3,0,0.66,1.7,28.5,2770.0,5.4,6,Medium Risk
41,3.8,29100.0,20500.0,0,0,0.573,2.7,51.2,15580.0,7.9,0,Medium Risk
55,6.2,35500.0,14300.0,6,0,0.609,5.4,28.0,20370.0,8.2,8,Medium Risk
23,5.8,26100.0,10800.0,2,0,0.825,8.4,36.4,12070.0,5.1,9,Low Risk
24,8.8,55900.0,7200.0,2,0,0.883,21.6,59.7,12250.0,13.4,2,High Risk
33,1.9,66200.0,12900.0,1,0,0.845,3.7,39.5,225720.0,11.3,1,Low Risk
